Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
NMCoulter-Nile,Australia,England,0,0,0,0,0,23,3,33,4,0,11.0,Bellerive Oval,104
NMCoulter-Nile,Australia,India,0,0,0,0,0,24,4,33,1,0,8.25,Punjab Cricket Association IS Bindra Stadium Mohali,25
NMCoulter-Nile,Australia,South Africa,0,0,0,0,0,11,1,17,1,0,17.0,Kingsmead,25
NMCoulter-Nile,Australia,Pakistan,0,3,0,0,0.0,24,4,38,2,0,9.5,Shere Bangla National Stadium,40
NMCoulter-Nile,Australia,England,13,6,0,2,216.66666666666666,24,4,47,0,0,11.75,Riverside Ground,11
NMCoulter-Nile,Australia,Bangladesh,0,0,0,0,0,23,3,25,0,0,8.333333333333334,M Chinnaswamy Stadium,0
NMCoulter-Nile,Australia,England,0,0,0,0,0,23,3,29,1,0,9.666666666666666,Melbourne Cricket Ground,23
NMCoulter-Nile,Australia,England,0,0,0,0,0,23,3,21,2,0,7.0,Stadium Australia,50
NMCoulter-Nile,Australia,Bangladesh,0,0,0,0,0,19,3,17,2,0,5.666666666666667,Shere Bangla National Stadium,52
NMCoulter-Nile,Australia,South Africa,9,9,0,1,100.0,25,4,29,3,0,7.25,Kingsmead,86
NMCoulter-Nile,Australia,England,0,1,0,0,0.0,23,3,24,1,0,8.0,Sophia Gardens,17
NMCoulter-Nile,Australia,South Africa,0,0,0,0,0,24,4,37,2,0,9.25,Newlands,48
NMCoulter-Nile,Australia,Pakistan,0,0,0,0,0,23,3,45,0,0,15.0,Punjab Cricket Association IS Bindra Stadium Mohali,-6
NMCoulter-Nile,Australia,New Zealand,1,2,0,0,50.0,23,3,33,0,0,11.0,Himachal Pradesh Cricket Association Stadium,-7
NMCoulter-Nile,Australia,India,12,11,1,0,109.09090909090908,25,4,44,1,0,11.0,Saurashtra Cricket Association Stadium,34
NMCoulter-Nile,Australia,West Indies,16,12,0,2,133.33333333333331,24,4,37,1,0,9.25,Brisbane Cricket Ground Woolloongabba,43
NMCoulter-Nile,Australia,South Africa,0,0,0,0,0,25,4,34,0,0,8.5,SuperSport Park,0
