Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
SohailTanvir,Pakistan,Bangladesh,0,0,0,0,0,19,3,24,1,0,8.0,National Stadium,25
SohailTanvir,Pakistan,India,0,0,0,0,0,23,3,23,0,0,7.666666666666667,M Chinnaswamy Stadium,0
SohailTanvir,Pakistan,England,6,3,0,0,200.0,24,4,44,1,0,11.0,Dubai International Cricket Stadium,27
SohailTanvir,Pakistan,Sri Lanka,8,13,1,0,61.53846153846154,18,3,11,0,0,3.6666666666666665,R Premadasa Stadium,13
SohailTanvir,Pakistan,Zimbabwe,7,5,1,0,140.0,24,4,37,1,0,9.25,Harare Sports Club,31
SohailTanvir,Pakistan,West Indies,0,0,0,0,0,24,4,27,2,0,6.75,Dubai International Cricket Stadium,50
SohailTanvir,Pakistan,Sri Lanka,2,3,0,0,66.66666666666666,26,4,30,0,0,7.5,Maple Leaf North-West Ground,0
SohailTanvir,Pakistan,Netherlands,0,0,0,0,0,17,2,13,0,0,6.5,Lord's,0
SohailTanvir,Pakistan,Zimbabwe,0,0,0,0,0,23,3,34,0,0,11.333333333333334,Harare Sports Club,-6
SohailTanvir,Pakistan,West Indies,2,4,0,0,50.0,19,3,40,1,0,13.333333333333334,Queen's Park Oval Port of Spain,17
SohailTanvir,Pakistan,Sri Lanka,1,1,0,0,100.0,24,4,12,3,0,3.0,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa,82
SohailTanvir,Pakistan,Australia,0,0,0,0,0,15,2,14,3,0,7.0,Dubai International Cricket Stadium,75
SohailTanvir,Pakistan,West Indies,14,12,1,1,116.66666666666667,24,4,28,1,0,7.0,Shere Bangla National Stadium,42
SohailTanvir,Pakistan,New Zealand,11,9,1,0,122.22222222222223,23,3,30,1,0,10.0,Dubai International Cricket Stadium,35
SohailTanvir,Pakistan,Sri Lanka,41,28,5,1,146.42857142857142,23,3,31,0,0,10.333333333333334,Dubai International Cricket Stadium,44
SohailTanvir,Pakistan,England,10,7,0,1,142.85714285714286,25,4,37,2,0,9.25,Sharjah Cricket Stadium,60
SohailTanvir,Pakistan,New Zealand,12,8,1,1,150.0,24,4,23,1,0,5.75,Dubai International Cricket Stadium,42
SohailTanvir,Pakistan,New Zealand,0,0,0,0,0,24,4,26,2,0,6.5,Dubai International Cricket Stadium,50
SohailTanvir,Pakistan,West Indies,0,3,0,0,0.0,24,4,20,2,0,5.0,Arnos Vale Ground Kingstown,44
SohailTanvir,Pakistan,Australia,0,0,0,0,0,18,3,32,0,0,10.666666666666666,Dubai International Cricket Stadium,-4
SohailTanvir,Pakistan,Zimbabwe,0,0,0,0,0,23,3,20,1,0,6.666666666666667,Harare Sports Club,25
SohailTanvir,Pakistan,West Indies,0,0,0,0,0,23,3,23,0,0,7.666666666666667,Sheikh Zayed Stadium,0
SohailTanvir,Pakistan,Afghanistan,0,0,0,0,0,24,4,13,2,1,3.25,Sharjah Cricket Stadium,64
SohailTanvir,Pakistan,South Africa,0,4,0,0,0.0,11,1,21,1,0,21.0,Dubai International Cricket Stadium,17
SohailTanvir,Pakistan,Sri Lanka,0,0,0,0,0,23,3,29,3,0,9.666666666666666,R Premadasa Stadium,73
SohailTanvir,Pakistan,Australia,0,0,0,0,0,24,4,32,3,0,8.0,New Wanderers Stadium,75
SohailTanvir,Pakistan,Bangladesh,0,0,0,0,0,17,2,26,0,0,13.0,Shere Bangla National Stadium,-6
SohailTanvir,Pakistan,Sri Lanka,3,7,0,0,42.857142857142854,19,3,29,0,0,9.666666666666666,Lord's,-5
SohailTanvir,Pakistan,Bangladesh,0,0,0,0,0,22,3,27,0,0,9.0,Newlands,0
SohailTanvir,Pakistan,England,0,0,0,0,0,25,4,36,0,0,9.0,Old Trafford,0
SohailTanvir,Pakistan,Zimbabwe,0,0,0,0,0,23,3,26,1,0,8.666666666666666,Harare Sports Club,25
SohailTanvir,Pakistan,Sri Lanka,0,0,0,0,0,24,4,34,2,0,8.5,Dubai International Cricket Stadium,50
SohailTanvir,Pakistan,West Indies,4,2,0,0,200.0,24,4,29,0,0,7.25,Queen's Park Oval Port of Spain,4
SohailTanvir,Pakistan,India,0,0,0,0,0,24,4,18,1,0,4.5,Kingsmead,29
