Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
AhmedRaza,United Arab Emirates,Sri Lanka,9,8,0,0,112.5,24,4,14,0,0,3.5,Shere Bangla National Stadium,15
AhmedRaza,United Arab Emirates,Ireland,12,24,0,0,50.0,17,2,32,0,0,16.0,Dubai International Cricket Stadium,2
AhmedRaza,United Arab Emirates,Afghanistan,3,2,0,0,150.0,24,4,19,2,0,4.75,Sheikh Zayed Stadium,57
AhmedRaza,United Arab Emirates,Netherlands,0,0,0,0,0,23,3,23,1,0,7.666666666666667,Sportpark Westvliet,25
AhmedRaza,United Arab Emirates,Papua New Guinea,0,0,0,0,0,23,3,23,0,0,7.666666666666667,Sheikh Zayed Stadium,0
AhmedRaza,United Arab Emirates,Pakistan,0,0,0,0,0,17,2,20,0,0,10.0,Shere Bangla National Stadium,-2
AhmedRaza,United Arab Emirates,Ireland,0,0,0,0,0,7,1,17,0,0,17.0,Sylhet Stadium,0
AhmedRaza,United Arab Emirates,Hong Kong,0,0,0,0,0,23,3,22,1,0,7.333333333333333,Sheikh Zayed Stadium,25
AhmedRaza,United Arab Emirates,Nigeria,0,0,0,0,0,23,3,15,1,1,5.0,Tolerance Oval,35
AhmedRaza,United Arab Emirates,Papua New Guinea,0,0,0,0,0,23,3,24,1,0,8.0,Sheikh Zayed Stadium,25
AhmedRaza,United Arab Emirates,Bangladesh,5,14,0,0,35.714285714285715,23,3,19,0,0,6.333333333333333,Shere Bangla National Stadium,-1
AhmedRaza,United Arab Emirates,Canada,0,0,0,0,0,12,2,12,0,0,6.0,Sheikh Zayed Stadium,0
AhmedRaza,United Arab Emirates,Papua New Guinea,0,0,0,0,0,24,4,25,1,0,6.25,Sheikh Zayed Stadium,25
AhmedRaza,United Arab Emirates,Netherlands,8,15,0,1,53.333333333333336,17,2,33,0,0,16.5,ICC Academy,0
AhmedRaza,United Arab Emirates,Afghanistan,0,0,0,0,0,24,4,32,1,0,8.0,Khan Shaheb Osman Ali Stadium,25
AhmedRaza,United Arab Emirates,Jersey,13,8,0,1,162.5,23,3,20,1,0,6.666666666666667,Tolerance Oval,40
AhmedRaza,United Arab Emirates,Oman,2,2,0,0,100.0,23,3,24,1,0,8.0,Sheikh Zayed Stadium,27
AhmedRaza,United Arab Emirates,Afghanistan,4,7,0,0,57.14285714285714,23,3,33,1,0,11.0,ICC Academy,21
AhmedRaza,United Arab Emirates,Oman,0,0,0,0,0,23,3,21,1,0,7.0,Sheikh Zayed Stadium,25
AhmedRaza,United Arab Emirates,Afghanistan,0,0,0,0,0,23,3,20,0,0,6.666666666666667,ICC Academy,0
AhmedRaza,United Arab Emirates,Hong Kong,0,0,0,0,0,17,2,29,1,0,14.5,Khan Shaheb Osman Ali Stadium,19
AhmedRaza,United Arab Emirates,Ireland,0,0,0,0,0,23,3,19,2,0,6.333333333333333,Sheikh Zayed Stadium,50
AhmedRaza,United Arab Emirates,India,0,1,0,0,0.0,0,0,0,0,0,0,Shere Bangla National Stadium,-8
AhmedRaza,United Arab Emirates,Ireland,0,0,0,0,0,23,3,17,1,0,5.666666666666667,Sheikh Zayed Stadium,27
AhmedRaza,United Arab Emirates,Afghanistan,0,0,0,0,0,17,2,23,0,0,11.5,Dubai International Cricket Stadium,-6
AhmedRaza,United Arab Emirates,Oman,0,0,0,0,0,18,3,10,1,0,3.3333333333333335,Shere Bangla National Stadium,31
AhmedRaza,United Arab Emirates,Afghanistan,0,0,0,0,0,23,3,31,0,0,10.333333333333334,Grange Cricket Club Ground Raeburn Place,-4
AhmedRaza,United Arab Emirates,Netherlands,0,0,0,0,0,23,3,28,0,0,9.333333333333334,VRA Ground,-2
AhmedRaza,United Arab Emirates,Zimbabwe,0,4,0,0,0.0,17,2,30,1,0,15.0,Sylhet Stadium,11
