Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
KDMills,New Zealand,England,0,0,0,0,0,24,4,23,1,0,5.75,Pallekele International Cricket Stadium,0,0,2012,27
KDMills,New Zealand,Sri Lanka,2,2,0,0,100.0,24,4,17,2,0,4.25,Central Broward Regional Park Stadium Turf Ground,0,0,2010,56
KDMills,New Zealand,Sri Lanka,4,6,1,0,66.66666666666666,24,4,41,1,0,10.25,Trent Bridge,0,0,2009,24
KDMills,New Zealand,Ireland,0,0,0,0,0,16,2,12,2,0,6.0,Trent Bridge,1,0,2009,62
KDMills,New Zealand,India,0,0,0,0,0,17,2,17,2,0,8.5,MA Chidambaram Stadium Chepauk,0,0,2012,50
KDMills,New Zealand,South Africa,0,0,0,0,0,25,4,38,0,0,9.5,New Wanderers Stadium,0,0,2005,-2
KDMills,New Zealand,Sri Lanka,0,0,0,0,0,18,3,26,0,0,8.666666666666666,Pallekele International Cricket Stadium,0,0,2013,0
KDMills,New Zealand,England,12,7,2,0,171.42857142857142,17,2,30,0,0,15.0,Old Trafford,0,0,2008,8
KDMills,New Zealand,Pakistan,0,0,0,0,0,23,3,37,3,0,12.333333333333334,Eden Park,0,0,2010,69
KDMills,New Zealand,Zimbabwe,0,0,0,0,0,23,3,32,2,0,10.666666666666666,Eden Park,0,0,2012,46
KDMills,New Zealand,West Indies,6,7,0,0,85.71428571428571,23,3,35,0,0,11.666666666666666,Seddon Park,0,0,2008,0
KDMills,New Zealand,South Africa,0,0,0,0,0,23,3,46,0,0,15.333333333333334,Westpac Stadium,0,1,2012,2
KDMills,New Zealand,West Indies,10,7,0,1,142.85714285714286,23,3,27,1,0,9.0,Eden Park,0,0,2008,37
KDMills,New Zealand,Pakistan,6,3,1,0,200.0,23,3,26,3,0,8.666666666666666,Dubai International Cricket Stadium,0,0,2014,82
KDMills,New Zealand,Zimbabwe,0,0,0,0,0,23,3,15,2,0,5.0,Harare Sports Club,0,0,2011,52
KDMills,New Zealand,England,30,22,2,1,136.36363636363635,24,4,36,1,0,9.0,Jade Stadium,0,1,2008,67
KDMills,New Zealand,Zimbabwe,0,0,0,0,0,23,3,40,0,0,13.333333333333334,Seddon Park,0,0,2012,-6
KDMills,New Zealand,Sri Lanka,0,0,0,0,0,18,3,22,2,0,7.333333333333333,R Premadasa Stadium,0,0,2009,50
KDMills,New Zealand,Australia,0,1,0,0,0.0,25,4,44,3,0,11.0,Eden Park,0,0,2005,63
KDMills,New Zealand,England,0,0,0,0,0,25,4,36,1,0,9.0,Zahur Ahmed Chowdhury Stadium,0,0,2014,25
KDMills,New Zealand,England,11,8,0,1,137.5,23,3,43,2,0,14.333333333333334,Eden Park,0,0,2008,57
