Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
MAStarc,Australia,Sri Lanka,0,0,0,0,0,24,4,20,1,0,5.0,Stadium Australia,0,0,2013,27
MAStarc,Australia,Pakistan,1,3,0,0,33.33333333333333,23,3,21,3,0,7.0,R Premadasa Stadium,0,0,2012,70
MAStarc,Australia,South Africa,0,0,0,0,0,13,2,26,0,0,13.0,Kingsmead,0,0,2014,-6
MAStarc,Australia,Pakistan,3,2,0,0,150.0,24,4,35,1,0,8.75,Shere Bangla National Stadium,0,0,2014,28
MAStarc,Australia,West Indies,0,0,0,0,0,24,4,38,3,0,9.5,R Premadasa Stadium,0,0,2012,73
MAStarc,Australia,India,0,0,0,0,0,23,3,28,1,0,9.333333333333334,R Premadasa Stadium,0,0,2012,23
MAStarc,Australia,South Africa,0,0,0,0,0,24,4,31,0,0,7.75,R Premadasa Stadium,0,0,2012,0
MAStarc,Australia,England,0,0,0,0,0,23,3,23,1,0,7.666666666666667,Melbourne Cricket Ground,0,1,2014,33
MAStarc,Australia,Ireland,0,0,0,0,0,23,3,22,2,0,7.333333333333333,R Premadasa Stadium,0,1,2012,58
MAStarc,Australia,England,0,0,0,0,0,14,2,12,1,0,6.0,Stadium Australia,0,1,2014,33
MAStarc,Australia,Bangladesh,0,0,0,0,0,25,4,25,1,0,6.25,Shere Bangla National Stadium,0,0,2014,25
MAStarc,Australia,England,0,0,0,0,0,27,4,32,1,0,8.0,Sophia Gardens,0,0,2015,25
MAStarc,Australia,India,2,4,0,0,50.0,26,4,38,1,0,9.5,Shere Bangla National Stadium,0,0,2014,21
MAStarc,Australia,Sri Lanka,0,0,0,0,0,23,3,37,3,0,12.333333333333334,Pallekele International Cricket Stadium,0,1,2016,77
MAStarc,Australia,West Indies,4,6,0,0,66.66666666666666,23,3,50,2,0,16.666666666666668,Shere Bangla National Stadium,0,0,2014,46
MAStarc,Australia,Sri Lanka,0,0,0,0,0,23,3,19,2,0,6.333333333333333,Adelaide Oval,0,0,2019,50
MAStarc,Australia,Pakistan,0,0,0,0,0,24,4,21,1,0,5.25,Dubai International Cricket Stadium,0,1,2014,35
MAStarc,Australia,Pakistan,0,0,0,0,0,19,3,11,3,1,3.6666666666666665,Dubai International Cricket Stadium,0,0,2012,89
MAStarc,Australia,West Indies,2,5,0,0,40.0,26,4,32,1,0,8.0,R Premadasa Stadium,0,0,2012,21
MAStarc,Australia,Sri Lanka,0,0,0,0,0,27,4,35,0,0,8.75,Melbourne Cricket Ground,0,0,2013,0
MAStarc,Australia,South Africa,0,0,0,0,0,24,4,16,2,1,4.0,SuperSport Park,0,0,2014,62
MAStarc,Australia,Pakistan,0,0,0,0,0,24,4,17,1,0,4.25,Dubai International Cricket Stadium,0,0,2012,29
MAStarc,Australia,Sri Lanka,0,0,0,0,0,26,4,32,1,0,8.0,R Premadasa Stadium,0,0,2016,25
MAStarc,Australia,England,5,8,0,0,62.5,61,10,75,1,0,7.5,Edgbaston,0,0,2013,28
MAStarc,Australia,England,0,0,0,0,0,53,8,43,4,0,5.375,Sydney Cricket Ground,0,0,2015,110
MAStarc,Australia,Ireland,0,0,0,0,0,31,5,34,2,0,6.8,Civil Service Cricket Club Stormont,0,0,2015,50
MAStarc,Australia,Sri Lanka,0,0,0,0,0,37,6,25,1,0,4.166666666666667,Melbourne Cricket Ground,0,0,2013,29
MAStarc,Australia,New Zealand,29,24,2,2,120.83333333333333,61,10,63,3,1,6.3,Seddon Park,0,1,2017,126
