Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
ADRussell,West Indies,India,22,13,1,2,169.23076923076923,25,4,53,1,0,13.25,Central Broward Regional Park Stadium Turf Ground,0,0,2016,46
ADRussell,West Indies,England,2,4,0,0,50.0,11,1,13,0,0,13.0,Kensington Oval Bridgetown,0,0,2014,-2
ADRussell,West Indies,Bangladesh,0,1,0,0,0.0,12,2,10,2,0,5.0,Shere Bangla National Stadium,0,0,2014,44
ADRussell,West Indies,South Africa,12,6,1,1,200.0,11,1,24,0,0,24.0,Kingsmead,0,0,2015,15
ADRussell,West Indies,Zimbabwe,0,1,0,0,0.0,12,2,21,0,0,10.5,Sir Vivian Richards Stadium North Sound,0,0,2013,-12
ADRussell,West Indies,England,10,5,2,0,200.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,0,0,2012,12
ADRussell,West Indies,Sri Lanka,19,14,0,1,135.71428571428572,5,0,11,0,0,0,Pallekele International Cricket Stadium,0,0,2012,21
ADRussell,West Indies,England,0,2,0,0,0.0,5,0,11,0,0,0,Kensington Oval Bridgetown,0,0,2014,-8
ADRussell,West Indies,Zimbabwe,0,0,0,0,0,5,0,6,0,0,0,Sir Vivian Richards Stadium North Sound,0,2,2013,16
ADRussell,West Indies,Pakistan,0,0,0,0,0,17,2,15,2,0,7.5,Shere Bangla National Stadium,0,0,2014,50
ADRussell,West Indies,South Africa,6,6,1,0,100.0,24,4,43,1,0,10.75,Newlands,0,0,2015,28
ADRussell,West Indies,Pakistan,0,3,0,0,0.0,25,4,29,0,0,7.25,Beausejour Stadium Gros Islet,0,0,2011,-8
ADRussell,West Indies,South Africa,4,8,0,0,50.0,25,4,28,2,0,7.0,Vidarbha Cricket Association Stadium Jamtha,1,1,2016,70
ADRussell,West Indies,Sri Lanka,9,9,0,1,100.0,0,0,0,0,0,0,R Premadasa Stadium,0,1,2015,19
ADRussell,West Indies,Ireland,0,0,0,0,0,12,2,19,0,0,9.5,R Premadasa Stadium,0,0,2012,-2
ADRussell,West Indies,Afghanistan,7,10,0,0,70.0,24,4,23,2,0,5.75,Vidarbha Cricket Association Stadium Jamtha,0,0,2016,59
ADRussell,West Indies,Sri Lanka,0,0,0,0,0,19,3,37,1,0,12.333333333333334,Shere Bangla National Stadium,0,0,2014,19
ADRussell,West Indies,England,1,3,0,0,33.33333333333333,23,3,23,1,0,7.666666666666667,Eden Gardens,0,0,2016,20
ADRussell,West Indies,Ireland,15,16,1,1,93.75,5,0,7,0,0,0,Sabina Park Kingston,0,1,2014,26
ADRussell,West Indies,New Zealand,10,8,1,0,125.0,17,2,16,2,0,8.0,Westpac Stadium,0,0,2014,61
ADRussell,West Indies,India,43,20,3,4,215.0,25,4,47,1,0,11.75,Wankhede Stadium,0,0,2016,73
ADRussell,West Indies,England,24,15,2,1,160.0,11,1,22,0,0,22.0,Kensington Oval Bridgetown,1,0,2014,40
ADRussell,West Indies,New Zealand,6,6,0,1,100.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,0,0,2012,8
ADRussell,West Indies,England,6,6,1,0,100.0,12,2,21,0,0,10.5,Kennington Oval,0,0,2011,3
ADRussell,West Indies,South Africa,14,6,1,1,233.33333333333334,28,4,39,0,0,9.75,New Wanderers Stadium,1,0,2015,27
ADRussell,West Indies,Australia,0,0,0,0,0,6,1,15,0,0,15.0,Shere Bangla National Stadium,0,1,2014,8
ADRussell,West Indies,Sri Lanka,16,8,0,2,200.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,0,0,2015,20
ADRussell,West Indies,New Zealand,0,2,0,0,0.0,5,0,23,0,0,0,Eden Park,0,0,2014,-8
ADRussell,West Indies,India,0,0,0,0,0,12,2,26,0,0,13.0,Queen's Park Oval Port of Spain,0,0,2011,-6
ADRussell,West Indies,India,13,16,0,1,81.25,5,0,8,0,0,0,Central Broward Regional Park Stadium Turf Ground,0,0,2016,15
ADRussell,West Indies,Bangladesh,5,12,0,0,41.66666666666667,12,2,17,0,0,8.5,Shere Bangla National Stadium,0,0,2011,-1
ADRussell,West Indies,New Zealand,14,9,2,0,155.55555555555557,11,1,17,1,0,17.0,Windsor Park Roseau,0,1,2014,49
ADRussell,West Indies,Sri Lanka,0,1,0,0,0.0,0,0,0,0,0,0,R Premadasa Stadium,0,0,2012,-8
ADRussell,West Indies,Bangladesh,0,0,0,0,0,5,0,17,0,0,0,Shere Bangla National Stadium,0,0,2012,0
ADRussell,West Indies,England,16,19,2,0,84.21052631578947,24,4,36,2,0,9.0,Wankhede Stadium,0,0,2016,68
ADRussell,West Indies,Australia,0,0,0,0,0,5,0,25,0,0,0,R Premadasa Stadium,0,1,2012,8
ADRussell,West Indies,Sri Lanka,20,10,3,1,200.0,23,3,36,1,0,12.0,M Chinnaswamy Stadium,0,1,2016,52
ADRussell,West Indies,Australia,23,11,3,0,209.0909090909091,5,0,9,0,0,0,Brisbane Cricket Ground Woolloongabba,0,1,2013,34
ADRussell,West Indies,India,7,5,0,0,140.0,12,2,12,1,0,6.0,Shere Bangla National Stadium,0,0,2014,32
ADRussell,West Indies,New Zealand,1,6,0,0,16.666666666666664,11,1,21,0,0,21.0,Windsor Park Roseau,0,0,2014,-5
ADRussell,West Indies,Ireland,8,11,0,0,72.72727272727273,0,0,0,0,0,0,Sabina Park Kingston,0,0,2014,8
ADRussell,West Indies,England,12,8,1,0,150.0,12,2,14,1,0,7.0,Kennington Oval,0,0,2011,38
ADRussell,West Indies,Ireland,27,13,3,1,207.6923076923077,36,6,33,0,0,5.5,Saxton Oval,0,0,2015,34
ADRussell,West Indies,South Africa,19,8,1,2,237.5,61,10,56,2,0,5.6,Kingsmead,2,1,2015,108
ADRussell,West Indies,Pakistan,3,9,0,0,33.33333333333333,25,4,23,0,0,5.75,Kensington Oval Bridgetown,0,0,2011,-1
ADRussell,West Indies,England,49,46,2,3,106.5217391304348,50,8,49,4,0,6.125,MA Chidambaram Stadium Chepauk,0,1,2011,173
ADRussell,West Indies,England,21,17,1,2,123.52941176470588,12,2,14,0,0,7.0,The Rose Bowl,0,0,2019,26
ADRussell,West Indies,India,53,42,5,3,126.19047619047619,35,5,32,0,0,6.4,MA Chidambaram Stadium Chepauk,0,0,2011,72
