Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
MHCross,Scotland,Netherlands,52,45,5,1,115.55555555555554,0,0,0,0,0,0,Dubai International Cricket Stadium,67
MHCross,Scotland,Oman,47,41,3,2,114.6341463414634,0,0,0,0,0,0,Dubai International Cricket Stadium,54
MHCross,Scotland,United Arab Emirates,20,20,1,2,100.0,0,0,0,0,0,0,ICC Academy,25
MHCross,Scotland,Papua New Guinea,40,23,4,1,173.91304347826087,0,0,0,0,0,0,ICC Academy,46
MHCross,Scotland,Ireland,48,31,6,1,154.83870967741936,0,0,0,0,0,0,Bready Cricket Club Magheramason,56
MHCross,Scotland,Hong Kong,39,15,5,2,260.0,0,0,0,0,0,0,The Village Malahide,48
MHCross,Scotland,Ireland,0,1,0,0,0.0,0,0,0,0,0,0,The Village Malahide,-8
MHCross,Scotland,Kenya,24,14,2,1,171.42857142857142,0,0,0,0,0,0,ICC Academy Ground No 2,28
MHCross,Scotland,Hong Kong,27,22,4,0,122.72727272727273,0,0,0,0,0,0,Mission Road Ground Mong Kok,31
MHCross,Scotland,Netherlands,22,15,4,0,146.66666666666666,0,0,0,0,0,0,Grange Cricket Club Ground Raeburn Place,26
MHCross,Scotland,Hong Kong,22,14,1,2,157.14285714285714,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,27
MHCross,Scotland,Netherlands,1,2,0,0,50.0,0,0,0,0,0,0,Sheikh Zayed Stadium,-3
MHCross,Scotland,Hong Kong,7,5,0,0,140.0,0,0,0,0,0,0,Mission Road Ground Mong Kok,7
MHCross,Scotland,Afghanistan,2,2,0,0,100.0,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,2
MHCross,Scotland,Afghanistan,2,2,0,0,100.0,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,2
